x y z
-2.500 -5.000 1.458
-2.500 -4.796 1.396
-2.500 -4.592 1.334
-2.500 -4.388 1.273
-2.500 -4.184 1.213
-2.500 -3.980 1.153
-2.500 -3.776 1.094
-2.500 -3.571 1.035
-2.500 -3.367 0.978
-2.500 -3.163 0.921
-2.500 -2.959 0.866
-2.500 -2.755 0.812
-2.500 -2.551 0.760
-2.500 -2.347 0.710
-2.500 -2.143 0.662
-2.500 -1.939 0.616
-2.500 -1.735 0.811
-2.500 -1.531 1.299
-2.500 -1.327 1.625
-2.500 -1.122 1.883
-2.500 -0.918 2.101
-2.500 -0.714 2.294
-2.500 -0.510 2.470
-2.500 -0.306 2.637
-2.500 -0.102 2.802
-2.500 0.102 2.967
-2.500 0.306 3.137
-2.500 0.510 3.311
-2.500 0.714 3.489
-2.500 0.918 3.671
-2.500 1.122 3.854
-2.500 1.327 4.039
-2.500 1.531 4.223
-2.500 1.735 4.405
-2.500 1.939 4.584
-2.500 2.143 4.761
-2.500 2.347 4.934
-2.500 2.551 5.104
-2.500 2.755 5.270
-2.500 2.959 5.432
-2.500 3.163 5.591
-2.500 3.367 5.747
-2.500 3.571 5.899
-2.500 3.776 6.048
-2.500 3.980 6.195
-2.500 4.184 6.338
-2.500 4.388 6.480
-2.500 4.592 6.618
-2.500 4.796 6.754
-2.500 5.000 6.888
-2.398 -5.000 1.448
-2.398 -4.796 1.386
-2.398 -4.592 1.324
-2.398 -4.388 1.262
-2.398 -4.184 1.201
-2.398 -3.980 1.140
-2.398 -3.776 1.080
-2.398 -3.571 1.021
-2.398 -3.367 0.963
-2.398 -3.163 0.905
-2.398 -2.959 0.849
-2.398 -2.755 0.794
-2.398 -2.551 0.741
-2.398 -2.347 0.690
-2.398 -2.143 0.640
-2.398 -1.939 0.594
-2.398 -1.735 0.594
-2.398 -1.531 1.089
-2.398 -1.327 1.460
-2.398 -1.122 1.738
-2.398 -0.918 1.965
-2.398 -0.714 2.162
-2.398 -0.510 2.340
-2.398 -0.306 2.508
-2.398 -0.102 2.674
-2.398 0.102 2.841
-2.398 0.306 3.013
-2.398 0.510 3.191
-2.398 0.714 3.375
-2.398 0.918 3.562
-2.398 1.122 3.752
-2.398 1.327 3.942
-2.398 1.531 4.132
-2.398 1.735 4.319
-2.398 1.939 4.503
-2.398 2.143 4.684
-2.398 2.347 4.861
-2.398 2.551 5.034
-2.398 2.755 5.203
-2.398 2.959 5.368
-2.398 3.163 5.529
-2.398 3.367 5.687
-2.398 3.571 5.842
-2.398 3.776 5.993
-2.398 3.980 6.141
-2.398 4.184 6.286
-2.398 4.388 6.428
-2.398 4.592 6.568
-2.398 4.796 6.705
-2.398 5.000 6.840
-2.296 -5.000 1.439
-2.296 -4.796 1.376
-2.296 -4.592 1.313
-2.296 -4.388 1.251
-2.296 -4.184 1.189
-2.296 -3.980 1.128
-2.296 -3.776 1.067
-2.296 -3.571 1.007
-2.296 -3.367 0.948
-2.296 -3.163 0.890
-2.296 -2.959 0.833
-2.296 -2.755 0.777
-2.296 -2.551 0.723
-2.296 -2.347 0.670
-2.296 -2.143 0.620
-2.296 -1.939 0.572
-2.296 -1.735 0.526
-2.296 -1.531 0.831
-2.296 -1.327 1.282
-2.296 -1.122 1.584
-2.296 -0.918 1.823
-2.296 -0.714 2.025
-2.296 -0.510 2.205
-2.296 -0.306 2.374
-2.296 -0.102 2.539
-2.296 0.102 2.708
-2.296 0.306 2.884
-2.296 0.510 3.067
-2.296 0.714 3.256
-2.296 0.918 3.450
-2.296 1.122 3.647
-2.296 1.327 3.844
-2.296 1.531 4.039
-2.296 1.735 4.232
-2.296 1.939 4.421
-2.296 2.143 4.607
-2.296 2.347 4.788
-2.296 2.551 4.964
-2.296 2.755 5.136
-2.296 2.959 5.304
-2.296 3.163 5.468
-2.296 3.367 5.628
-2.296 3.571 5.784
-2.296 3.776 5.937
-2.296 3.980 6.086
-2.296 4.184 6.233
-2.296 4.388 6.377
-2.296 4.592 6.518
-2.296 4.796 6.656
-2.296 5.000 6.792
-2.194 -5.000 1.430
-2.194 -4.796 1.367
-2.194 -4.592 1.304
-2.194 -4.388 1.241
-2.194 -4.184 1.179
-2.194 -3.980 1.117
-2.194 -3.776 1.055
-2.194 -3.571 0.995
-2.194 -3.367 0.935
-2.194 -3.163 0.876
-2.194 -2.959 0.818
-2.194 -2.755 0.761
-2.194 -2.551 0.705
-2.194 -2.347 0.652
-2.194 -2.143 0.600
-2.194 -1.939 0.550
-2.194 -1.735 0.504
-2.194 -1.531 0.575
-2.194 -1.327 1.082
-2.194 -1.122 1.421
-2.194 -0.918 1.675
-2.194 -0.714 1.883
-2.194 -0.510 2.064
-2.194 -0.306 2.233
-2.194 -0.102 2.399
-2.194 0.102 2.569
-2.194 0.306 2.748
-2.194 0.510 2.936
-2.194 0.714 3.133
-2.194 0.918 3.334
-2.194 1.122 3.539
-2.194 1.327 3.743
-2.194 1.531 3.945
-2.194 1.735 4.144
-2.194 1.939 4.339
-2.194 2.143 4.529
-2.194 2.347 4.714
-2.194 2.551 4.894
-2.194 2.755 5.069
-2.194 2.959 5.240
-2.194 3.163 5.406
-2.194 3.367 5.568
-2.194 3.571 5.727
-2.194 3.776 5.881
-2.194 3.980 6.032
-2.194 4.184 6.180
-2.194 4.388 6.325
-2.194 4.592 6.468
-2.194 4.796 6.607
-2.194 5.000 6.745
-2.092 -5.000 1.422
-2.092 -4.796 1.359
-2.092 -4.592 1.295
-2.092 -4.388 1.232
-2.092 -4.184 1.169
-2.092 -3.980 1.106
-2.092 -3.776 1.044
-2.092 -3.571 0.983
-2.092 -3.367 0.922
-2.092 -3.163 0.862
-2.092 -2.959 0.803
-2.092 -2.755 0.745
-2.092 -2.551 0.689
-2.092 -2.347 0.634
-2.092 -2.143 0.581
-2.092 -1.939 0.530
-2.092 -1.735 0.482
-2.092 -1.531 0.437
-2.092 -1.327 0.843
-2.092 -1.122 1.245
-2.092 -0.918 1.519
-2.092 -0.714 1.734
-2.092 -0.510 1.917
-2.092 -0.306 2.085
-2.092 -0.102 2.250
-2.092 0.102 2.422
-2.092 0.306 2.605
-2.092 0.510 2.800
-2.092 0.714 3.004
-2.092 0.918 3.214
-2.092 1.122 3.427
-2.092 1.327 3.640
-2.092 1.531 3.850
-2.092 1.735 4.055
-2.092 1.939 4.256
-2.092 2.143 4.451
-2.092 2.347 4.640
-2.092 2.551 4.824
-2.092 2.755 5.002
-2.092 2.959 5.176
-2.092 3.163 5.345
-2.092 3.367 5.509
-2.092 3.571 5.669
-2.092 3.776 5.826
-2.092 3.980 5.978
-2.092 4.184 6.128
-2.092 4.388 6.274
-2.092 4.592 6.418
-2.092 4.796 6.559
-2.092 5.000 6.697
-1.990 -5.000 1.415
-1.990 -4.796 1.351
-1.990 -4.592 1.287
-1.990 -4.388 1.223
-1.990 -4.184 1.160
-1.990 -3.980 1.096
-1.990 -3.776 1.034
-1.990 -3.571 0.972
-1.990 -3.367 0.910
-1.990 -3.163 0.849
-1.990 -2.959 0.789
-1.990 -2.755 0.731
-1.990 -2.551 0.673
-1.990 -2.347 0.617
-1.990 -2.143 0.563
-1.990 -1.939 0.510
-1.990 -1.735 0.461
-1.990 -1.531 0.414
-1.990 -1.327 0.574
-1.990 -1.122 1.051
-1.990 -0.918 1.354
-1.990 -0.714 1.578
-1.990 -0.510 1.762
-1.990 -0.306 1.928
-1.990 -0.102 2.092
-1.990 0.102 2.265
-1.990 0.306 2.453
-1.990 0.510 2.655
-1.990 0.714 2.869
-1.990 0.918 3.090
-1.990 1.122 3.313
-1.990 1.327 3.534
-1.990 1.531 3.752
-1.990 1.735 3.965
-1.990 1.939 4.172
-1.990 2.143 4.372
-1.990 2.347 4.566
-1.990 2.551 4.754
-1.990 2.755 4.935
-1.990 2.959 5.112
-1.990 3.163 5.283
-1.990 3.367 5.450
-1.990 3.571 5.612
-1.990 3.776 5.770
-1.990 3.980 5.925
-1.990 4.184 6.076
-1.990 4.388 6.223
-1.990 4.592 6.368
-1.990 4.796 6.510
-1.990 5.000 6.649
-1.888 -5.000 1.408
-1.888 -4.796 1.344
-1.888 -4.592 1.279
-1.888 -4.388 1.215
-1.888 -4.184 1.151
-1.888 -3.980 1.087
-1.888 -3.776 1.024
-1.888 -3.571 0.961
-1.888 -3.367 0.899
-1.888 -3.163 0.837
-1.888 -2.959 0.777
-1.888 -2.755 0.717
-1.888 -2.551 0.658
-1.888 -2.347 0.601
-1.888 -2.143 0.545
-1.888 -1.939 0.492
-1.888 -1.735 0.440
-1.888 -1.531 0.392
-1.888 -1.327 0.372
-1.888 -1.122 0.826
-1.888 -0.918 1.176
-1.888 -0.714 1.414
-1.888 -0.510 1.599
-1.888 -0.306 1.761
-1.888 -0.102 1.922
-1.888 0.102 2.096
-1.888 0.306 2.289
-1.888 0.510 2.501
-1.888 0.714 2.727
-1.888 0.918 2.960
-1.888 1.122 3.195
-1.888 1.327 3.427
-1.888 1.531 3.654
-1.888 1.735 3.874
-1.888 1.939 4.087
-1.888 2.143 4.293
-1.888 2.347 4.492
-1.888 2.551 4.683
-1.888 2.755 4.869
-1.888 2.959 5.048
-1.888 3.163 5.222
-1.888 3.367 5.391
-1.888 3.571 5.555
-1.888 3.776 5.715
-1.888 3.980 5.871
-1.888 4.184 6.023
-1.888 4.388 6.173
-1.888 4.592 6.318
-1.888 4.796 6.462
-1.888 5.000 6.602
-1.786 -5.000 1.402
-1.786 -4.796 1.337
-1.786 -4.592 1.272
-1.786 -4.388 1.208
-1.786 -4.184 1.143
-1.786 -3.980 1.079
-1.786 -3.776 1.015
-1.786 -3.571 0.952
-1.786 -3.367 0.889
