x y u v
-3.500 -8.000 28.680 32.451
-3.132 -8.000 25.976 30.130
-2.763 -8.000 23.146 27.726
-2.395 -8.000 20.196 25.239
-2.026 -8.000 17.158 22.697
-1.658 -8.000 14.017 20.096
-1.289 -8.000 10.739 17.400
-0.921 -8.000 7.340 14.579
-0.553 -8.000 3.984 11.746
-0.184 -8.000 0.755 8.988
0.184 -8.000 -2.210 6.330
0.553 -8.000 -4.950 3.715
0.921 -8.000 -7.666 1.160
1.289 -8.000 -10.389 -1.314
1.658 -8.000 -13.341 -2.309
2.026 -8.000 -16.344 -3.354
2.395 -8.000 -19.354 -4.589
2.763 -8.000 -22.340 -6.000
3.132 -8.000 -25.278 -7.570
3.500 -8.000 -28.142 -9.279
-3.500 -7.158 26.641 29.770
-3.132 -7.158 24.125 27.620
-2.763 -7.158 21.530 25.407
-2.395 -7.158 18.824 23.126
-2.026 -7.158 16.010 20.775
-1.658 -7.158 13.112 18.376
-1.289 -7.158 10.108 15.910
-0.921 -7.158 7.018 13.359
-0.553 -7.158 3.917 10.754
-0.184 -7.158 0.882 8.179
0.184 -7.158 -1.938 5.675
0.553 -7.158 -4.548 3.220
0.921 -7.158 -7.134 0.826
1.289 -7.158 -9.728 -1.520
1.658 -7.158 -12.582 -2.420
2.026 -7.158 -15.468 -3.519
2.395 -7.158 -18.345 -4.813
2.763 -7.158 -21.182 -6.285
3.132 -7.158 -23.945 -7.911
3.500 -7.158 -26.610 -9.667
-3.500 -6.316 24.449 26.900
-3.132 -6.316 22.095 24.926
-2.763 -6.316 19.658 22.875
-2.395 -6.316 17.198 20.797
-2.026 -6.316 14.654 18.670
-1.658 -6.316 12.004 16.477
-1.289 -6.316 9.287 14.239
-0.921 -6.316 6.534 11.965
-0.553 -6.316 3.744 9.639
-0.184 -6.316 0.974 7.326
0.184 -6.316 -1.646 5.063
0.553 -6.316 -4.091 2.823
0.921 -6.316 -6.522 0.616
1.289 -6.316 -8.973 -1.569
1.658 -6.316 -11.685 -2.525
2.026 -6.316 -14.416 -3.676
2.395 -6.316 -17.120 -5.024
2.763 -6.316 -19.754 -6.545
3.132 -6.316 -22.297 -8.212
3.500 -6.316 -24.740 -10.004
-3.500 -5.474 22.050 23.795
-3.132 -5.474 19.915 22.048
-2.763 -5.474 17.667 20.192
-2.395 -5.474 15.353 18.278
-2.026 -5.474 13.054 16.364
-1.658 -5.474 10.727 14.430
-1.289 -5.474 8.329 12.443
-0.921 -5.474 5.896 10.429
-0.553 -5.474 3.453 8.415
-0.184 -5.474 1.012 6.425
0.184 -5.474 -1.343 4.463
0.553 -5.474 -3.595 2.477
0.921 -5.474 -5.852 0.488
1.289 -5.474 -8.136 -1.481
1.658 -5.474 -10.632 -2.617
2.026 -5.474 -13.159 -3.813
2.395 -5.474 -15.625 -5.200
2.763 -5.474 -18.006 -6.750
3.132 -5.474 -20.288 -8.439
3.500 -5.474 -22.423 -10.222
-3.500 -4.632 19.446 20.428
-3.132 -4.632 17.531 18.929
-2.763 -4.632 15.530 17.330
-2.395 -4.632 13.439 15.640
-2.026 -4.632 11.368 13.945
-1.658 -4.632 9.320 12.258
-1.289 -4.632 7.263 10.558
-0.921 -4.632 5.183 8.855
-0.553 -4.632 3.085 7.156
-0.184 -4.632 0.980 5.469
0.184 -4.632 -1.099 3.792
0.553 -4.632 -3.113 2.099
0.921 -4.632 -5.141 0.387
1.289 -4.632 -7.204 -1.318
1.658 -4.632 -9.388 -2.683
2.026 -4.632 -11.626 -3.900
2.395 -4.632 -13.792 -5.299
2.763 -4.632 -15.832 -6.835
3.132 -4.632 -17.718 -8.465
3.500 -4.632 -19.471 -10.171
-3.500 -3.789 16.759 16.927
-3.132 -3.789 14.998 15.595
-2.763 -3.789 13.210 14.236
-2.395 -3.789 11.450 12.863
-2.026 -3.789 9.687 11.455
-1.658 -3.789 7.920 10.044
-1.289 -3.789 6.155 8.651
-0.921 -3.789 4.408 7.267
-0.553 -3.789 2.646 5.867
-0.184 -3.789 0.875 4.474
0.184 -3.789 -0.901 3.083
0.553 -3.789 -2.652 1.689
0.921 -3.789 -4.413 0.286
1.289 -3.789 -6.199 -1.120
1.658 -3.789 -7.967 -2.508
2.026 -3.789 -9.726 -3.875
2.395 -3.789 -11.482 -5.220
2.763 -3.789 -13.143 -6.690
3.132 -3.789 -14.818 -8.011
3.500 -3.789 -16.426 -9.283
-3.500 -2.947 14.005 13.382
-3.132 -2.947 12.430 12.214
-2.763 -2.947 10.878 11.062
-2.395 -2.947 9.417 9.975
-2.026 -2.947 7.977 8.895
-1.658 -2.947 6.533 7.816
-1.289 -2.947 5.085 6.736
-0.921 -2.947 3.612 5.646
-0.553 -2.947 2.147 4.555
-0.184 -2.947 0.716 3.469
0.184 -2.947 -0.724 2.389
0.553 -2.947 -2.178 1.303
0.921 -2.947 -3.630 0.222
1.289 -2.947 -5.080 -0.853
1.658 -2.947 -6.530 -1.929
2.026 -2.947 -7.990 -3.004
2.395 -2.947 -9.453 -4.086
2.763 -2.947 -10.899 -5.168
3.132 -2.947 -12.327 -6.252
3.500 -2.947 -13.728 -7.308
-3.500 -2.105 11.097 9.672
-3.132 -2.105 9.795 8.773
-2.763 -2.105 8.581 7.938
-2.395 -2.105 7.419 7.137
-2.026 -2.105 6.283 6.359
-1.658 -2.105 5.139 5.564
-1.289 -2.105 3.985 4.770
-0.921 -2.105 2.844 4.009
-0.553 -2.105 1.698 3.250
-0.184 -2.105 0.555 2.495
0.184 -2.105 -0.564 1.731
0.553 -2.105 -1.703 0.949
0.921 -2.105 -2.853 0.162
1.289 -2.105 -3.981 -0.602
1.658 -2.105 -5.132 -1.375
2.026 -2.105 -6.286 -2.145
2.395 -2.105 -7.442 -2.916
2.763 -2.105 -8.602 -3.690
3.132 -2.105 -9.765 -4.471
3.500 -2.105 -10.928 -5.257
-3.500 -1.263 8.143 5.900
-3.132 -1.263 7.163 5.313
-2.763 -1.263 6.260 4.778
-2.395 -1.263 5.408 4.282
-2.026 -1.263 4.578 3.808
-1.658 -1.263 3.757 3.344
-1.289 -1.263 2.930 2.873
-0.921 -1.263 2.097 2.405
